Info: 0.00:91.50, v=22.05, t=86.40
Info: 0.00:87.09, v=22.05, t=86.60
Info: 0.00:82.68, v=22.05, t=86.80
Info: 0.00:78.27, v=22.05, t=87.00
Info: 0.00:73.85, v=22.05, t=87.20
Info: 0.00:69.44, v=22.05, t=87.40
Info: 0.00:65.03, v=22.05, t=87.60
Info: 0.00:60.62, v=22.05, t=87.80
Info: 0.00:56.21, v=22.05, t=88.00
Info: 0.00:51.80, v=22.05, t=88.20
Info: 0.00:47.39, v=22.05, t=88.40
Info: 0.00:42.98, v=22.05, t=88.60
Info: 0.00:38.57, v=22.05, t=88.80
Info: 0.00:34.16, v=22.05, t=89.00
Info: 0.00:29.75, v=22.05, t=89.20
Info: 0.00:25.34, v=22.05, t=89.40
Info: 0.00:20.93, v=22.05, t=89.60
Info: 0.00:16.52, v=22.05, t=89.80
Info: 0.00:12.11, v=22.05, t=90.00
Info: 0.00:7.70, v=22.05, t=90.20
Info: 0.00:3.29, v=22.05, t=90.40
Info: 0.00:-1.13, v=22.05, t=90.60
Info: Aplicando série de impulsos...
Info: 0.00:40.43, v=207.75, t=90.80
Info: 0.00:88.70, v=241.38, t=91.00
Info: 0.00:131.52, v=214.08, t=91.20
Info: 0.00:178.91, v=236.94, t=91.40
Info: 0.00:222.55, v=218.20, t=91.60
Info: 0.00:269.32, v=233.87, t=91.80
Info: 0.00:313.51, v=220.96, t=92.00
Info: 0.00:359.86, v=231.74, t=92.20
Info: 0.00:404.43, v=222.84, t=92.40
Info: 0.00:450.48, v=230.26, t=92.60
Info: Interrompendo impulsos...
Info: 0.00:495.31, v=224.11, t=92.80
Info: 0.00:499.21, v=19.52, t=93.00
Info: 0.00:502.41, v=16.02, t=93.20
Info: 0.00:505.02, v=13.02, t=93.40
Info: 0.00:507.09, v=10.38, t=93.60
Info: 0.00:508.69, v=7.98, t=93.80
Info: 0.00:509.84, v=5.76, t=94.00
Info: 0.00:510.58, v=3.67, t=94.20
Info: 0.00:510.91, v=1.65, t=94.40
Info: 0.00:510.84, v=0.32, t=94.60
Info: 0.00:510.39, v=2.28, t=94.80
Info: 0.00:509.54, v=4.22, t=95.00
Info: 0.00:508.32, v=6.11, t=95.20
Info: 0.00:506.73, v=7.93, t=95.40
Info: 0.00:504.81, v=9.63, t=95.60
Info: 0.00:502.56, v=11.22, t=95.80
Info: 0.00:500.03, v=12.68, t=96.00
Info: 0.00:497.23, v=13.99, t=96.20
Info: 0.00:494.20, v=15.16, t=96.40
Info: 0.00:490.96, v=16.20, t=96.60
Info: 0.00:487.54, v=17.10, t=96.80
Info: 0.00:483.96, v=17.88, t=97.00
Info: 0.00:480.25, v=18.55, t=97.20
Info: 0.00:476.42, v=19.13, t=97.40
Info: 0.00:472.50, v=19.61, t=97.60
Info: 0.00:468.50, v=20.02, t=97.80
Info: 0.00:464.42, v=20.37, t=98.00
Info: 0.00:460.29, v=20.66, t=98.20
Info: 0.00:456.11, v=20.90, t=98.40
Info: 0.00:451.89, v=21.10, t=98.60
Info: 0.00:447.64, v=21.26, t=98.80
Info: 0.00:443.36, v=21.40, t=99.00
Info: 0.00:439.06, v=21.52, t=99.20
Info: 0.00:434.73, v=21.61, t=99.40
Info: 0.00:430.40, v=21.69, t=99.60
Info: 0.00:426.05, v=21.75, t=99.80
Info: 0.00:421.68, v=21.81, t=100.00
Info: 0.00:417.31, v=21.85, t=100.20
Info: 0.00:412.94, v=21.89, t=100.40
Info: 0.00:408.55, v=21.92, t=100.60
Info: 0.00:404.17, v=21.94, t=100.80
Info: 0.00:399.77, v=21.96, t=101.00
Info: 0.00:395.38, v=21.98, t=101.20
Info: 0.00:390.98, v=21.99, t=101.40
Info: 0.00:386.58, v=22.00, t=101.60
Info: 0.00:382.18, v=22.01, t=101.80
Info: 0.00:377.78, v=22.02, t=102.00
Info: 0.00:373.37, v=22.02, t=102.20
Info: 0.00:368.96, v=22.03, t=102.40
Info: 0.00:364.56, v=22.03, t=102.60
Info: 0.00:360.15, v=22.04, t=102.80
Info: 0.00:355.74, v=22.04, t=103.00
Info: 0.00:351.33, v=22.04, t=103.20
Info: 0.00:346.93, v=22.04, t=103.40
Info: 0.00:342.52, v=22.05, t=103.60
Info: 0.00:338.11, v=22.05, t=103.80
Info: 0.00:333.70, v=22.05, t=104.00
Info: 0.00:329.29, v=22.05, t=104.20
Info: 0.00:324.88, v=22.05, t=104.40
Info: 0.00:320.47, v=22.05, t=104.60
Info: 0.00:316.06, v=22.05, t=104.80
Info: 0.00:311.65, v=22.05, t=105.00
Info: 0.00:307.24, v=22.05, t=105.20
Info: 0.00:302.83, v=22.05, t=105.40
Info: 0.00:298.42, v=22.05, t=105.60
Info: 0.00:294.01, v=22.05, t=105.80
